stop_id,stop_code,stop_name,stop_desc,stop_lat,stop_lon,zone_id,stop_url,location_type,parent_station
400836,,RIVERSIDE DR - W 112 ST,,40.806328,-73.967979,,,0,
400837,,RIVERSIDE DR - W 108 ST,,40.803581,-73.969521,,,0,
400838,,RIVERSIDE DR - W 106 ST,,40.802322,-73.970474,,,0,
404130,,RIVERSIDE DR - W 104 ST,,40.801167,-73.971306,,,0,
400840,,RIVERSIDE DR - W 100 ST,,40.798237,-73.973389,,,0,
400841,,RIVERSIDE DR - W 97 ST,,40.796135,-73.974968,,,0,
404131,,RIVERSIDE DR - W 94 ST,,40.794762,-73.976288,,,0,
400843,,RIVERSIDE DR - W 91 ST,,40.793156,-73.976753,,,0,
404855,,RIVERSIDE DR - W 89 ST,,40.79184,-73.978584,,,0,
400846,,RIVERSIDE DR - W 86 ST,,40.789742,-73.980598,,,0,
400847,,RIVERSIDE DR - W 84 ST,,40.78828,-73.981178,,,0,
400848,,RIVERSIDE DR - W 82 ST,,40.78669,-73.981339,,,0,
400849,,RIVERSIDE DR - W 80 ST,,40.78545,-73.982269,,,0,
400850,,RIVERSIDE DR - W 78 ST,,40.784363,-73.983337,,,0,
400851,,RIVERSIDE DR - W 76 ST,,40.783134,-73.984726,,,0,
400852,,RIVERSIDE DR - W 73 ST,,40.78141,-73.985321,,,0,
400853,,W 72 ST - WEST END AV,,40.779552,-73.984116,,,0,
400854,,W 72 ST - BROADWAY,,40.778767,-73.982254,,,0,
403169,,BROADWAY - W 70 ST,,40.776768,-73.982307,,,0,
400856,,BROADWAY - W 68 ST,,40.775414,-73.982414,,,0,
400857,,BROADWAY - W 66 ST,,40.773563,-73.982407,,,0,
400858,,BROADWAY - W 64 ST,,40.771797,-73.982361,,,0,
400860,,BROADWAY - W 61 ST,,40.769962,-73.982307,,,0,
400861,,COLUMBUS CIR - 8 AV,,40.768013,-73.982635,,,0,
403781,,CENTRAL PK S - COLUMBUS CI,,40.767567,-73.980988,,,0,
403047,,CENTRAL PK S - AVE OF THE AMERICAS,,40.765656,-73.97644,,,0,
400153,,BROADWAY - WAVERLY PL,,40.729401,-73.993515,,,0,
400154,,BROADWAY - W 3 ST,,40.727539,-73.995102,,,0,
400155,,BROADWAY - BLEECKER ST,,40.726261,-73.99617,,,0,
403311,,BROADWAY - W HOUSTON ST,,40.725124,-73.997139,,,0,
404916,,BROADWAY - PRINCE ST,,40.72401,-73.998085,,,0,
